Date,Open,High,Low,Close,Adj Close,Volume
2020-05-04,72.292503,73.422501,71.580002,73.290001,72.190498,133568000
2020-05-05,73.764999,75.250000,73.614998,74.389999,73.273994,147751200
2020-05-06,75.114998,75.809998,74.717499,75.157501,74.029984,142333600
2020-05-07,75.805000,76.292503,75.492500,75.934998,74.795822,115215200
2020-05-08,76.410004,77.587502,76.072502,77.532501,76.576080,133838400
2020-05-11,77.025002,79.262497,76.809998,78.752502,77.781029,145946400
2020-05-12,79.457497,79.922501,77.727501,77.852501,76.892128,162301200
2020-05-13,78.037498,78.987503,75.802498,76.912498,75.963730,200622400
2020-05-14,76.127502,77.447502,75.382500,77.385002,76.430412,158929200
2020-05-15,75.087502,76.974998,75.052498,76.927498,75.978546,166348400
2020-05-18,78.292503,79.125000,77.580002,78.739998,77.768684,135178400
2020-05-19,78.757500,79.629997,78.252502,78.285004,77.319305,101729600
2020-05-20,79.169998,79.879997,79.129997,79.807503,78.823021,111504800
2020-05-21,79.665001,80.222504,78.967499,79.212502,78.235367,102688800
2020-05-22,78.942497,79.807503,78.837502,79.722504,78.739075,81803200
2020-05-26,80.875000,81.059998,79.125000,79.182503,78.205719,125522000
2020-05-27,79.035004,79.677498,78.272499,79.527496,78.546471,112945200
2020-05-28,79.192497,80.860001,78.907501,79.562500,78.581039,133560800
2020-05-29,79.812500,80.287498,79.117500,79.485001,78.504501,153532400
2020-06-01,79.437500,80.587502,79.302498,80.462502,79.469933,80791200
2020-06-02,80.187500,80.860001,79.732498,80.834999,79.837845,87642800
2020-06-03,81.165001,81.550003,80.574997,81.279999,80.277351,104491200
2020-06-04,81.097504,81.404999,80.195000,80.580002,79.585983,87560400
